ita@x it
lamom@x lam
nżom@x nż
afcie@x aft
gajom@x gaj
ilcem@x ilec
kole@a koła
lot@a lota
mażom@x maż
drem@x der
acce@a acka
emcu@x emiec
erzem@x erz
nogom@x nóg
nsowi@x ns
musy@x mus
raja@x raj
rwiach@w rew
rble@x rbel
llo@o llo
parach@x par
zdy@x zd
ułami@y uły
idami@x id
gogów@x gog
jce@x jec
tumu@x tum
au@o ako
litu@x lit
galach@x gal
erdom@x erd
cicami@x cic
aksowi@x aks
rsa@x rs
ntami@o nto
firów@x fir
hel@x hel
pcie@x pt
eały@x eał
tki@a tka
owo@o owo
bini@x bin
yny@a yna
yktach@x ykt
iomem@x iom
iściom@x iść
krowi@x kier
eenami@x een
kupem@x kup
itw@a itwa
doków@x dok
bisów@x bis
iwom@a iwa
somu@x som
dalom@x dal
mów@a ma
mów@a mowa
samom@x sam
aułami@x auł
nisiach@x niś
wąsach@x wąs
ryi@a ryja
tzów@x tz
żarowi@x żar
iefie@x ief
ikle@x ikiel
snach@a sna
nych@e ne
fkach@x fek
nad@a nada
rwom@w rw
chami@o cho
opów@x op
osiem@x oś
ke'owi@e ke
zek@a zka
ypowi@x yp
łędze@a łęga
ldach@a lda
lcom@a lca
nokom@x nok
rętom@x ręt
tosami@x tos
ludom@x lud
zaw@a zawa
mkami@x mek
rasiem@x raś
łno@a łna
biach@a bia
genowi@x gen
zofów@x zof
plą@a pla
ssnami@x ssen
zewami@w zew
emie@x em
jść@e jście
kasów@x kas
toła@x toł
menie@x men
iwrem@x iwer
utami@a uta
wirom@x wir
mcą@a mca
lara@x lar
kinom@x kin
ngiem@o ngo
rejowie@x rej
zyści@a zysta
remów@x rem
uńce@x uniec
olta@x olt
pem@o po
wrami@x wr
zchowi@x zch
inkom@x inek
ren@a rena
wrach@x wr
sikiem@x sik
rądach@x rąd
isami@x is
eźb@a eźba
kowie@a ka
żel@x żel
razów@x raz
chowiach@w chów
auz@a auza
nks@x nks
larów@x lar
ziowie@a zia
iągu@x iąg
orzy ór
rzowi@x rz
gałom@x gał
rię@a ria
cjami@a cja
dż@x dż
rów@a ra
tyl@x tyl
enkowi@x enek
zgiem@x zg
idowi@x id
óra@x ór
awce@a awka
rpca@x rpec
łkom@o łko
żkom@a żka
cio@o cio
risie@x ris
tky@a tka
rze@e rze
gisom@x gis
ówki@x ówek
riowie@o rio
źcom ziec
ązki@x ązek
twcowi@x twiec
gle@a gła
tole@x tol
yka@x yk
óg oga
rklami@x rkiel
terowi@x ter
pięcia@x pię
